BaseMarkov

Starting tests

time	source	#chars
0.091	487614	1000
0.168	487614	2000
0.273	487614	4000
0.658	487614	8000
1.312	487614	16000
2.607	487614	32000
5.176	487614	64000

0.325	487614	4096
0.662	975228	4096
1.004	1462842	4096
1.434	1950456	4096
1.789	2438070	4096
2.280	2925684	4096
2.427	3413298	4096
2.925	3900912	4096
3.142	4388526	4096
3.676	4876140	4096

Finished tests

EfficientMarkov

Starting tests

time	source	#chars
0.137	487614	1000
0.212	487614	2000
0.192	487614	4000
0.131	487614	8000
0.153	487614	16000
0.116	487614	32000
0.126	487614	64000

0.103	487614	4096
0.222	975228	4096
0.370	1462842	4096
0.487	1950456	4096
0.424	2438070	4096
0.455	2925684	4096
0.683	3413298	4096
0.817	3900912	4096
0.874	4388526	4096
1.052	4876140	4096

Finished tests
